totalvehicles,CaseYear,ST_CASE,VEH_NO,NUMOCCS,DEATHS,DR_DRINK,DR_ZIP,SPEEDREL,HIT_RUN,BODY_TYP,BODY_TYPNAME,MAK_MOD,MOD_YEAR,Body,DISTRACT,IMPAIR
1,2018,540127,1,1,1,FALSE,26159,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2001,Utility/Minivan,Not Reported,None/Apparently Normal
2,2018,540128,1,1,1,FALSE,25507,FALSE,FALSE,4,"4-door sedan, hardtop",Ford Fusion,2011,Sedan,Not Reported,None/Apparently Normal
2,2018,540128,2,1,0,FALSE,25526,FALSE,FALSE,4,"4-door sedan, hardtop",Mercedes-Benz E Class (97 on),1998,Sedan,Not Distracted,None/Apparently Normal
2,2018,540129,1,1,0,FALSE,25989,FALSE,FALSE,5,5-door/4-door hatchback,Nissan/Datsun Versa,2014,Sedan,Not Reported,None/Apparently Normal
2,2018,540129,2,1,1,FALSE,25969,FALSE,FALSE,80,Two Wheel Motorcycle (excluding motor scooters),Yamaha 750cc or greater,2004,Motorcycle,Not Distracted,Unknown
1,2018,540130,1,1,1,TRUE,24739,TRUE,FALSE,2,"2-door sedan,hardtop,coupe",Chevrolet Cavalier,2002,Sedan,Not Reported,Under the Influence
1,2018,540131,1,1,0,FALSE,NA,FALSE,TRUE,99,Unknown body type,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",NA,Unknown,Not Reported,Unknown
1,2018,540132,1,1,0,FALSE,24986,FALSE,FALSE,6,Station Wagon (excluding van and truck based),Subaru Impreza,2016,Sedan,Not Reported,None/Apparently Normal
1,2018,540135,1,1,0,FALSE,25880,FALSE,FALSE,34,Light Pickup,"Chevrolet C, K, R, V-series pickup/Silverado",2013,Pickup,Not Reported,None/Apparently Normal
1,2018,540136,1,2,1,FALSE,25314,FALSE,FALSE,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Ford Expedition,2006,Utility/Minivan,Not Reported,None/Apparently Normal
1,2018,540137,1,1,1,FALSE,22802,TRUE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Kenworth Medium/Heavy - CBE,2011,Truck-tractor,Not Reported,None/Apparently Normal
2,2018,540138,1,1,1,FALSE,24986,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Chevrolet S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)",2005,Utility/Minivan,Not Reported,None/Apparently Normal
2,2018,540138,2,2,0,FALSE,24986,FALSE,FALSE,4,"4-door sedan, hardtop",Toyota Yaris,2008,Sedan,Not Distracted,None/Apparently Normal
2,2018,540139,1,1,1,FALSE,26833,FALSE,FALSE,80,Two Wheel Motorcycle (excluding motor scooters),Harley-Davidson 750cc or greater,2011,Motorcycle,Not Reported,None/Apparently Normal
2,2018,540139,2,2,0,FALSE,26836,FALSE,FALSE,67,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)","Dodge Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)",2017,Pickup,Not Distracted,None/Apparently Normal
2,2018,540140,1,2,0,FALSE,25124,FALSE,FALSE,34,Light Pickup,"Chevrolet C, K, R, V-series pickup/Silverado",1997,Pickup,Not Reported,None/Apparently Normal
2,2018,540140,2,4,2,FALSE,25245,FALSE,FALSE,34,Light Pickup,Ford F-Series pickup,2011,Pickup,Not Distracted,None/Apparently Normal
2,2018,540141,1,1,0,FALSE,26164,FALSE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Kenworth Medium/Heavy - CBE,2015,Truck-tractor,Not Reported,None/Apparently Normal
3,2018,540142,1,1,0,FALSE,25404,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Nissan/Datsun Xterra,2001,Utility/Minivan,Not Reported,None/Apparently Normal
3,2018,540142,2,1,1,FALSE,25403,FALSE,FALSE,4,"4-door sedan, hardtop",Acura TL,2004,Sedan,Not Reported,None/Apparently Normal
3,2018,540142,3,1,0,FALSE,25403,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Honda Element,2003,Utility/Minivan,Not Distracted,None/Apparently Normal
2,2018,540143,1,1,1,FALSE,27104,FALSE,FALSE,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Chrysler Town and Country,2004,Utility/Minivan,Not Reported,Unknown
2,2018,540143,2,1,0,FALSE,25801,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Hyundai Santa Fe,2013,Utility/Minivan,Not Reported,None/Apparently Normal
2,2018,540144,1,1,1,TRUE,26003,TRUE,FALSE,80,Two Wheel Motorcycle (excluding motor scooters),Honda 450-749 cc,2008,Motorcycle,Not Reported,Unknown
2,2018,540144,2,1,0,FALSE,15946,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Honda CR-V,2015,Utility/Minivan,Not Reported,None/Apparently Normal
2,2018,540145,1,1,1,FALSE,25537,FALSE,FALSE,34,Light Pickup,Ford F-Series pickup,2002,Pickup,Not Reported,Unknown
2,2018,540145,2,1,0,FALSE,25502,FALSE,FALSE,34,Light Pickup,"GMC C, K, R, V-series pickup/     Sierra",2018,Pickup,Not Distracted,None/Apparently Normal
2,2018,540146,1,1,1,FALSE,26624,TRUE,FALSE,4,"4-door sedan, hardtop",Chevrolet Cruze,2011,Sedan,Not Reported,None/Apparently Normal
2,2018,540146,2,1,0,FALSE,26201,FALSE,FALSE,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",Freightliner Medium/Heavy - CBE,2007,Straight truck,Not Distracted,None/Apparently Normal
1,2018,540147,1,1,1,FALSE,25560,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",KIA Sorento,2005,Utility/Minivan,Not Reported,None/Apparently Normal
