CaseYear,ST_CASE,crashDate,LONGITUD,LATITUDE,COUNTYNAME,HARM_EVNAME,HARM_EV,DRUNK_DR,WEATHERNAME,EMS_flag,EMS_time,Hosp_flag,Hosp_time,totalvehicles,fatals,persons,peds
2016,540006,2016-01-04T22:00:00Z,-77.88686111,39.45247222,BERKELEY (3),Pedestrian,8,FALSE,Clear,Not called,NA,Not Applicable/Notified,NA,1,1,2,1
2016,540007,2016-01-05T19:32:00Z,-82.3795,38.39963056,CABELL (11),Guardrail Face,24,FALSE,Clear,Yes,19:42,Yes,20:03,3,1,5,0
2016,540008,2016-01-02T03:25:00Z,-80.56297778,40.62103333,HANCOCK (29),Impact Attenuator/Crash Cushion,20,TRUE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540009,2016-01-06T08:05:00Z,-79.92694167,39.101125,BARBOUR (1),Tree (Standing Only),42,TRUE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540010,2016-01-07T20:07:00Z,-81.25888889,37.31,MERCER (55),Pedestrian,8,TRUE,Clear,Not called,NA,Not Applicable/Notified,NA,1,1,1,1
2016,540011,2016-01-07T08:07:00Z,-79.03056389,39.36810833,MINERAL (57),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,2,1,2,0
2016,540012,2016-01-08T14:39:00Z,-82.59256944,38.34561111,WAYNE (99),Motor Vehicle In-Transport,12,FALSE,Rain,Yes,14:51,Unknown time,NA,2,1,3,0
2016,540014,2016-01-11T21:20:00Z,-80.83238333,38.29226111,NICHOLAS (67),Pedestrian,8,FALSE,Clear,Yes,21:27,Yes,21:34,1,1,2,1
2016,540016,2016-01-12T12:50:00Z,-81.63615278,38.54486111,KANAWHA (39),Rollover/Overturn,1,FALSE,Clear,Yes,13:10,Yes,13:55,1,1,1,0
2016,540017,2016-01-17T02:30:00Z,-79.95054722,39.64039167,MONONGALIA (61),Pedestrian,8,FALSE,Cloudy,Unknown time,NA,Unknown time,NA,1,1,1,1
2016,540018,2016-01-19T12:00:00Z,-80.72801944,38.67038333,BRAXTON (7),Guardrail Face,24,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2016,540019,2016-01-22T10:29:00Z,-80.01229167,39.66546389,MONONGALIA (61),Motor Vehicle In-Transport,12,FALSE,Clear,Unknown time,NA,Unknown time,NA,2,1,2,0
2016,540020,2016-01-26T21:00:00Z,-81.49166944,37.34333056,MCDOWELL (47),Rollover/Overturn,1,TRUE,Rain,Yes,21:24,Yes,22:30,1,1,1,0
2016,540021,2016-01-30T14:39:00Z,-80.35437778,39.37943611,HARRISON (33),Tree (Standing Only),42,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2016,540022,2016-02-02T15:31:00Z,-80.30879167,39.01326667,UPSHUR (97),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,15:58,Unknown time,NA,2,1,2,0
2016,540023,2016-02-04T15:00:00Z,-80.69978056,38.09813889,NICHOLAS (67),Guardrail Face,24,TRUE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540024,2016-02-05T18:37:00Z,-81.36541111,39.24446111,WOOD (107),Motor Vehicle In-Transport,12,FALSE,Cloudy,Yes,19:02,Yes,19:32,4,1,5,0
2016,540025,2016-02-10T11:50:00Z,-81.61903056,38.36201111,KANAWHA (39),Other Non-Collision,7,FALSE,Clear,Unknown time,NA,Unknown time,NA,1,1,1,0
2016,540026,2016-02-16T12:36:00Z,-81.94173889,38.45660278,PUTNAM (79),Concrete Traffic Barrier,25,FALSE,Clear,Yes,12:52,Yes,13:19,1,1,1,0
2016,540027,2016-02-22T19:23:00Z,-81.71252778,38.47501389,KANAWHA (39),Motor Vehicle In-Transport,12,TRUE,Cloudy,Yes,19:46,Yes,20:37,2,1,3,0
2016,540028,2016-02-11T11:30:00Z,-79.13556111,39.24388889,GRANT (23),Ditch,34,FALSE,Other,Not called,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540029,2016-02-11T18:35:00Z,-80.76648333,37.44601944,MONROE (63),Tree (Standing Only),42,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2016,540030,2016-02-15T15:00:00Z,-80.18531111,39.55389444,MARION (49),Other Fixed Object,43,FALSE,Rain,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
